date,trades,value
1999/01/04,198368,2561246661700
1999/01/05,252579,2434261908250
1999/01/06,260319,2607061370150
1999/01/07,299019,3217223101050
1999/01/08,292231,2998811632900
1999/01/11,336979,2902983885100
1999/01/12,313905,2915446010550
1999/01/13,326842,2697955279600
1999/01/14,316402,2386418458050
1999/01/15,295538,2188283908000
1999/01/18,288866,2570013345500
1999/01/19,289520,2433489715300
1999/01/20,215276,2036362431350
1999/01/21,206789,1862650057750
1999/01/22,216856,1810884703900
1999/01/25,162838,1364838466450
1999/01/26,169700,1438509141700
1999/01/27,191976,1599589463950
1999/01/28,206550,1726290136400
1999/01/29,177932,1519260506050
1999/02/01,185069,1638419397550
1999/02/02,201991,1790840987500
1999/02/03,177479,1536360677950
1999/02/04,133163,1199310605300
1999/02/05,143485,1323144144550
1999/02/08,135832,1260818863800
1999/02/09,129978,1068266226350
1999/02/10,148324,1211516934100
1999/02/11,120331,900439221400
1999/02/12,154762,1345446784350
1999/02/18,122919,1049252808900
1999/02/19,132799,1051186263900
1999/02/22,117541,799528096050
1999/02/23,111718,810873582200
1999/02/24,114832,770101276850
1999/02/25,129439,817750755200
1999/02/26,127012,954306177050
1999/03/02,156815,1302116787400
1999/03/03,130704,1143920968600
1999/03/04,119408,994014912600
1999/03/05,145299,1258691088550
1999/03/08,223095,1911582954150
1999/03/09,217889,1941289742750
1999/03/10,157426,1387809411000
1999/03/11,242645,2151100385900
1999/03/12,247652,1921868250350
1999/03/15,234664,1958839805800
1999/03/16,203417,1683128670100
1999/03/17,276950,2485477371100
1999/03/18,188121,1735652278400
1999/03/19,183829,1836140934200
1999/03/22,196401,2098711895100
1999/03/23,163812,1599702162800
1999/03/24,193839,1812976124650
1999/03/25,205006,1939958474650
1999/03/26,153963,1521504069450
1999/03/29,151172,1486400078100
1999/03/30,160000,1707711233700
1999/03/31,165618,1720545626900
1999/04/01,206111,2270814824200
1999/04/02,262748,2632117682450
1999/04/06,269134,2743393383550
1999/04/07,318903,3357015680250
1999/04/08,270582,2527217461150
1999/04/09,342030,3243371325800
1999/04/12,343317,3168671095500
1999/04/13,318184,3005231583800
1999/04/14,272608,2666081795500
1999/04/15,370697,4044750705450
1999/04/16,387938,4826310039400
1999/04/19,315354,4073923495050
1999/04/20,340105,4017339052200
1999/04/21,336263,3919703224300
1999/04/22,268284,3087516892750
1999/04/23,303243,3759688890700
1999/04/26,340061,4339240622150
1999/04/27,372360,4945182955200
1999/04/28,392374,4785319047850
1999/04/29,332692,3874576386150
1999/04/30,314755,3949046191300
1999/05/03,319727,3320016298000
1999/05/04,327403,3894727322400
1999/05/06,383618,4720255775350
1999/05/07,376248,4700905412650
1999/05/10,356625,4116407195550
1999/05/11,367382,4520618158050
1999/05/12,298315,3624585662250
1999/05/13,293465,3524758939200
1999/05/14,255148,2909812969400
1999/05/17,173418,2033800914950
1999/05/18,169130,1889508089200
1999/05/19,229010,2639363446800
1999/05/20,198029,2360636107250
1999/05/21,170489,2029376108550
1999/05/24,134666,1563660459100
1999/05/25,153858,1843461426900
1999/05/26,203931,2333754234550
1999/05/27,235461,2955167536850
1999/05/28,206053,2207946800800
1999/05/31,185907,2219699487450
1999/06/01,160908,2162874085650
1999/06/02,235452,3186474368050
1999/06/03,233429,3070111889200
1999/06/04,205881,2978191447150
1999/06/07,260399,3951230521450
1999/06/08,307694,4412829705250
1999/06/09,250992,3612256194050
1999/06/10,232255,3624475799700
1999/06/11,285122,3955214791000
1999/06/14,208808,2753311266450
1999/06/15,208133,2715320143600
1999/06/16,175559,2421038957950
1999/06/17,224397,3621551721050
1999/06/18,196035,2546239256700
1999/06/21,242845,3582856048250
1999/06/22,310894,4092824442300
1999/06/23,291170,4019067476450
1999/06/24,278612,3703552999800
1999/06/25,240575,3023180713500
1999/06/28,229258,3489554032750
1999/06/29,233321,3266877902000
1999/06/30,259890,4037103510750
1999/07/01,279151,4669694278450
1999/07/02,300145,4948258309800
1999/07/05,349838,5194022077950
1999/07/06,341929,5185686304200
1999/07/07,399674,6126997768950
1999/07/08,441965,6074466132600
1999/07/09,448719,6353393143350
1999/07/12,489180,6625574511600
1999/07/13,364175,4806040856850
1999/07/14,349162,4742715930050
1999/07/15,307739,4250607433450
1999/07/16,360296,5360727861300
1999/07/19,379345,5628233043600
1999/07/20,406346,5341006556500
1999/07/21,379599,5266203501850
1999/07/22,397389,5526013384700
1999/07/23,413126,5764117312500
1999/07/26,349097,4456634315350
1999/07/27,390090,4732396520450
1999/07/28,394201,5820619207700
1999/07/29,390695,5703881157450
1999/07/30,405544,6830480144050
1999/08/02,352442,5537758984950
1999/08/03,344336,5038221982200
1999/08/04,381668,4971511933350
1999/08/05,285808,3921032264500
1999/08/06,236914,3113777745150
1999/08/09,294555,4237305435650
1999/08/10,291165,4541036372800
1999/08/11,291834,4487293988100
1999/08/12,255837,3483471784850
1999/08/13,270181,3738478752700
1999/08/16,219584,3218929633600
1999/08/17,270865,3900555162000
1999/08/18,326412,3823327200300
1999/08/19,280272,3198646239850
1999/08/20,255149,2879032598950
1999/08/23,306431,4942133784900
1999/08/24,343802,4518929451850
1999/08/25,380360,5597799003150
1999/08/26,366364,5110653542550
1999/08/27,325166,4908183475850
1999/08/30,300490,4018671285350
1999/08/31,265484,3608701703300
1999/09/01,316135,4588304941100
1999/09/02,305807,4257162155900
1999/09/03,318001,4831580562850
1999/09/06,290480,3710885661650
1999/09/07,280856,3800263361650
1999/09/08,278591,3621319300400
1999/09/09,234209,3492018756650
1999/09/10,297618,4423416054100
1999/09/13,297900,4563031122300
1999/09/14,289964,4055614099500
1999/09/15,261235,3395701846900
1999/09/16,246102,3392113745400
1999/09/17,222790,3131466789450
1999/09/20,234856,2790842900100
1999/09/21,305231,4484497818950
1999/09/22,301875,4854901816500
1999/09/27,219379,3008709286050
1999/09/28,225047,3076258423250
1999/09/29,251792,3192891635500
1999/09/30,231427,3440653363500
1999/10/01,262919,3197234875100
1999/10/04,233746,2532639667650
1999/10/05,284855,3211181325100
1999/10/06,277999,3397995000200
1999/10/07,341780,3973066272700
1999/10/08,311794,3460383939600
1999/10/11,245309,2766021388850
1999/10/12,298504,3194333351000
1999/10/13,287222,3097954468600
1999/10/14,334600,4037389656350
1999/10/15,335717,4068407713100
1999/10/18,268265,2801635579750
1999/10/19,252566,2904201093400
1999/10/20,314376,3319950040350
1999/10/21,339683,3720969075850
1999/10/22,238549,2398774339400
