date,trades,value
1998-01-02,3218,166587975.105
1998-01-05,10346,631356423.9025
1998-01-06,10210,688040990.68
1998-01-07,10473,780246031.1375
1998-01-08,12271,837319847.5575
1998-01-09,12292,747615265.93
1998-01-12,16009,842832161.9125
1998-01-13,7144,555573965.3425
1998-01-14,6428,602474992.3975
1998-01-15,8219,674746801.3875
1998-01-16,18135,967562484.425
1998-01-19,8130,669486860.15
1998-01-20,14056,968058980.8625
1998-01-21,13625,899520798.0425
1998-01-22,9500,761779428.7875
1998-01-23,11448,735562522.31
1998-01-26,9650,593151839.645
1998-01-27,15246,914775179.1925
1998-01-28,12168,878461461.2925
1998-01-29,12054,800970253.44
1998-01-30,9357,751323321.22
1998-02-02,15136,1254738213.6125
1998-02-03,12485,985371649.3975
1998-02-04,10514,932246411.1175
1998-02-05,15512,1070190222.16
1998-02-06,11547,763059709.64
1998-02-09,7448,666464571.2725
1998-02-10,9900,773591182.79
1998-02-11,12057,829354828.775
1998-02-12,13848,846795577.0
1998-02-13,9061,667089675.725
1998-02-16,6312,515611856.1525
1998-02-17,9969,788724222.1725
1998-02-18,10389,850191732.415
1998-02-19,9652,772500091.1875
1998-02-20,11605,682864775.175
1998-02-23,10165,777185605.5125
1998-02-24,13247,1130071317.1325
1998-02-25,8429,829719583.3775
1998-02-26,13505,886008197.765
1998-02-27,14768,836918532.4975
1998-03-02,10617,788474723.2425
1998-03-03,9322,829363981.0975
1998-03-04,10471,880913262.7025
1998-03-05,10554,846966935.6125
1998-03-06,10549,738509159.15
1998-03-09,10449,713551806.1825
1998-03-10,13138,711943308.93
1998-03-11,9595,674578892.105
1998-03-12,9998,702895160.305
1998-03-13,9933,742931187.0375
1998-03-16,11445,681765619.6675
1998-03-17,13359,796815883.1075
1998-03-18,11442,783812005.2325
1998-03-19,9691,720160681.0425
1998-03-20,40081,1752256270.2825
1998-03-23,10638,759697344.2325
1998-03-24,9951,762902910.0
1998-03-25,9631,774565966.23
1998-03-26,9866,725798826.7625
1998-03-27,12586,770084880.695
1998-03-30,13960,701443046.0675
1998-03-31,14683,827599834.135
1998-04-01,15309,1053448973.52
1998-04-02,11410,861299651.2575
1998-04-03,11635,951633144.25
1998-04-06,13432,873668223.2725
1998-04-07,16660,1009655677.875
1998-04-08,10916,839136347.4675
1998-04-09,11625,689108991.2275
1998-04-14,13150,884494529.98
1998-04-15,11742,770644648.3125
1998-04-16,11190,768577977.96
1998-04-17,12987,732370895.8975
1998-04-20,9300,632198738.34
1998-04-21,11624,825524681.455
1998-04-22,10970,849976181.78
1998-04-23,12766,756495117.835
1998-04-24,13809,845748700.4525
1998-04-27,12001,772525909.8625
1998-04-28,12257,787966288.6175
1998-04-29,10874,758356294.2075
1998-04-30,19491,1149132855.1225
1998-05-01,10165,668733638.5475
1998-05-05,10259,668599063.645
1998-05-06,11146,725613121.665
1998-05-07,11710,831569650.7125
1998-05-08,11733,845972504.705
1998-05-11,10745,671519810.45
1998-05-12,9550,648957871.4325
1998-05-13,13677,773792143.2975
1998-05-14,13198,829741215.2675
1998-05-15,10456,725006724.4475
1998-05-18,15373,771833717.195
1998-05-19,11432,792722664.315
1998-05-20,11847,852684365.4275
1998-05-21,11212,758629888.1475
1998-05-22,10440,735383124.885
1998-05-26,11812,751633738.155
1998-05-27,19452,1029992406.4825
1998-05-28,13083,883369160.5175
1998-05-29,12763,1048255536.3025
1998-06-01,9102,597294634.32
1998-06-02,9816,702883873.6975
1998-06-03,11767,774713813.9
1998-06-04,11175,720079818.545
1998-06-05,10641,764344185.565
1998-06-08,13610,850097198.1175
1998-06-09,13554,839054051.3725
1998-06-10,10079,667495175.905
1998-06-11,13282,774160961.3075
1998-06-12,19182,982887563.635
1998-06-15,13487,677381008.925
1998-06-16,11340,719644085.2825
1998-06-17,15769,972025156.5325
1998-06-18,10772,736931616.23
1998-06-19,22226,861693463.335
1998-06-22,10602,600041351.67
1998-06-23,12849,733449182.9875
1998-06-24,11658,757256993.65
1998-06-25,17490,941230730.5575
1998-06-26,10516,662111620.255
1998-06-29,15568,823775458.3925
1998-06-30,14837,749450762.61
1998-07-01,16133,898005705.125
1998-07-02,16794,976725876.505
1998-07-03,8615,578350952.295
1998-07-06,9475,625862805.7375
1998-07-07,14555,840750709.8425
1998-07-08,13780,869427259.375
1998-07-09,19208,1020240177.7875
1998-07-10,10821,707466368.3125
1998-07-13,9826,561889558.075
1998-07-14,23483,1172029517.375
1998-07-15,16603,1021434552.43
1998-07-16,12168,836195163.96
1998-07-17,18623,857988008.1575
1998-07-20,9732,543911389.0325
1998-07-21,11956,715717131.525
1998-07-22,13248,760662065.68
1998-07-23,13197,821204483.165
1998-07-24,11406,685237587.89
1998-07-27,14148,695672672.3025
1998-07-28,11347,699480130.1325
1998-07-29,11956,757844717.275
1998-07-30,10018,804459744.0525
1998-07-31,22177,1063320501.4275
1998-08-03,12162,693519433.3225
1998-08-04,16648,881168748.425
1998-08-05,21468,1026373798.56
1998-08-06,15622,940868235.3325
1998-08-07,12652,806378884.855
1998-08-10,10158,584356985.0325
1998-08-11,17291,1236906927.33
1998-08-12,13240,880460032.7475
1998-08-13,16776,966017105.47
1998-08-14,9418,774978724.51
1998-08-17,10798,630304447.5525
1998-08-18,12361,796438227.6925
1998-08-19,12145,807337705.415
1998-08-20,9107,652044370.0925
1998-08-21,26165,912171271.155
1998-08-24,11381,632537100.17
1998-08-25,14785,766654804.21
1998-08-26,14864,828239265.3425
1998-08-27,13672,900434968.8175
1998-08-28,18212,1146639322.28
1998-09-01,23570,1155158449.21
1998-09-02,19780,1038909042.89
1998-09-03,17454,921730055.1125
1998-09-04,10808,789334444.23
1998-09-07,10192,624616397.8475
1998-09-08,18877,876510028.0325
1998-09-09,11954,693652964.5625
1998-09-10,20568,906908826.805
1998-09-11,20141,1040313220.25
