date,trades,value
1999-01-05,1377116000,43992233870
1999-01-06,1999194031,63645471257
1999-01-07,2631142753,85192629099
1999-01-08,2864094997,98469450257
1999-01-11,2180092599,87234393837
1999-01-12,2321575452,85696810488
1999-01-13,1945489432,70776337686
1999-01-14,1934394834,74028012785
1999-01-15,2400453910,87305498159
1999-01-16,3238349776,126556337196
1999-01-18,1701343000,57836536090
1999-01-19,1670822156,57036224917
1999-01-20,1421238191,51099855841
1999-01-21,1841648963,68372187422
1999-01-22,1527828313,52794001750
1999-01-25,1474264027,51165608529
1999-01-26,1420995160,48810485953
1999-01-27,1719795273,62372980151
1999-01-28,1385851735,40840610538
1999-01-29,1549853559,51839976457
1999-01-30,1567688446,51812458224
1999-02-01,1240482000,39796409180
1999-02-02,1490305138,44866454029
1999-02-03,1830473583,57344305439
1999-02-04,1976149937,56719667256
1999-02-05,2162868009,60790862671
1999-02-06,2364285320,67581411100
1999-02-08,2422768000,74191432860
1999-02-09,1787197352,47746816765
1999-02-10,2016066250,55129458393
1999-02-20,1852399000,57895442500
1999-02-22,2834320000,87005655310
1999-02-23,3519104789,108794379884
1999-02-24,2637080650,78466611178
1999-02-25,3025713564,94806990121
1999-02-26,2100489760,62044152689
1999-03-01,2477144694,69861280772
1999-03-02,2221027744,62314387935
1999-03-03,2915852548,87253856706
1999-03-04,3353473898,100014333035
1999-03-05,2734733001,72965309529
1999-03-06,2772653631,79905767410
1999-03-08,1649071000,50354557890
1999-03-09,2741105627,96345611035
1999-03-10,2057417766,65839471305
1999-03-11,2261884202,75819410536
1999-03-12,1828573804,59403661788
1999-03-15,2754382428,102784569289
1999-03-16,3746826669,142043029956
1999-03-17,3710657706,137428361981
1999-03-18,3935975631,145537012009
1999-03-19,4649641427,159068228261
1999-03-20,4221386849,135607631904
1999-03-22,2850519000,99721529380
1999-03-23,3761636632,126754501592
1999-03-24,2920324379,97175198846
1999-03-25,2763658468,93220571121
1999-03-26,3598188794,116235341670
1999-03-29,2974639559,90708005125
1999-03-30,2369393502,76310582925
1999-03-31,2223389610,66991778778
1999-04-01,3407718611,103336705478
1999-04-02,4863608872,151504396133
1999-04-03,4411526967,137177864674
1999-04-06,2742832000,79552943840
1999-04-07,2258264590,71674204674
1999-04-08,3586395850,131649834792
1999-04-09,3869615410,142297119845
1999-04-12,3110339851,128046047858
1999-04-13,2895198958,122311145295
1999-04-14,3652332974,144889520154
1999-04-15,3896778249,140135179883
1999-04-16,4546878709,165278622966
1999-04-17,4248829772,137526911733
1999-04-19,4674806000,151966875500
1999-04-20,4472255242,133949136522
1999-04-21,4700467143,149426919866
1999-04-22,3085335004,106121109074
1999-04-23,4599957244,150260739098
1999-04-26,4158838178,135166313799
1999-04-27,3992049018,127628941339
1999-04-28,3778728111,114880365401
1999-04-29,3230523322,111520210537
1999-04-30,2907622789,103043752056
1999-05-03,3120031216,106349005906
1999-05-04,4368773840,138713423822
1999-05-05,4315761515,140754643432
1999-05-06,3825011984,146780277978
1999-05-07,2982720322,114112237259
1999-05-10,2193001847,82952287522
1999-05-11,2944803921,103552516113
1999-05-12,1965529875,69349334513
1999-05-13,1999434210,69776226292
1999-05-14,2879856792,107758388221
1999-05-15,2566436862,104054666108
1999-05-17,3060893000,131038776110
1999-05-18,2902763334,129620888145
1999-05-19,3222203199,151683842699
1999-05-20,3141087828,138803512633
1999-05-21,2438993915,102543237748
1999-05-24,2343058648,111141227297
1999-05-25,3002279416,146612814047
1999-05-26,2394263912,108807981206
1999-05-27,2753617705,126895492155
1999-05-28,2294271342,109109069621
1999-05-29,2209279491,121693399340
1999-05-31,1962910000,111462703180
1999-06-01,1831362435,83584937070
1999-06-02,2549626000,119107951307
1999-06-03,3230888118,155821830024
1999-06-04,2686388796,133137692115
1999-06-05,2942940289,151565009785
1999-06-07,3197929000,175240988250
1999-06-08,3245891673,176425199673
1999-06-09,3224064260,186620135975
1999-06-10,3710063192,198353460752
1999-06-11,3057472709,162694796370
1999-06-14,2125563659,114981213531
1999-06-15,2523021588,139618984681
1999-06-16,2616212570,156728089333
1999-06-17,3970399824,226936846445
1999-06-21,3886294382,224045177887
1999-06-22,3782637696,216421492568
1999-06-23,4034546586,230268774323
1999-06-24,3723432961,217366675583
1999-06-25,3243866548,195773451624
1999-06-28,2075694620,124030753293
1999-06-29,3075369819,182729972841
1999-06-30,3082121526,195190058889
1999-07-02,3213680521,187638566230
1999-07-03,3299523113,196764538480
1999-07-05,2989565000,150105752840
1999-07-06,2880576368,153801644863
1999-07-07,2586378356,142806616367
1999-07-08,2580284143,146964167815
1999-07-09,2762235101,154390577528
1999-07-12,2311591788,121474646128
1999-07-13,2843163059,171113705566
1999-07-14,2707389805,137655453919
1999-07-15,2472729561,129217546028
1999-07-16,2518632942,135619555165
1999-07-17,2815129263,138390221707
1999-07-19,2186532000,112848631930
1999-07-20,2338588821,116040793603
1999-07-21,2441343644,148515785141
1999-07-22,1967083872,107029683189
1999-07-23,1744797587,82552079912
1999-07-26,1495447945,68812626669
1999-07-27,1693570575,79146776549
1999-07-28,1766118664,82934550218
1999-07-29,1527354969,69220201478
1999-07-30,1237311654,61215815382
1999-07-31,1361482578,60043046226
1999-08-02,1237893000,53809599330
1999-08-03,1532416426,71437043997
1999-08-04,1505003911,63498067271
1999-08-05,1386943269,58494026679
1999-08-06,1550854631,67365226121
1999-08-07,1940602766,92012996731
1999-08-09,1573258000,73985008460
1999-08-10,2244294060,113996120112
1999-08-11,2215832614,117541082456
1999-08-12,2587909341,128394825782
1999-08-13,3491711780,172770254672
1999-08-16,3297525325,168665163865
1999-08-17,3291580289,164549507730
1999-08-18,3336900676,148821419772
1999-08-19,2337058969,102220768805
1999-08-20,2866096632,139587823381
1999-08-21,3881132507,164726146627
1999-08-23,2688479000,97370129660
1999-08-24,2526343488,105070713983
1999-08-25,2724457170,125543584413
1999-08-26,3442923082,150211800007
1999-08-27,2517100086,101656074646
1999-08-30,3094441465,131191509211
1999-08-31,3281935151,151942533735
1999-09-01,3763620688,193166809908
1999-09-02,3200611096,162930031892
1999-09-03,2348192077,116584231064
1999-09-04,2673567180,144811627587
1999-09-06,2082528000,127474012680
1999-09-07,2354254334,128193484500
1999-09-08,2352028666,115755408258
1999-09-09,2339900787,106590704794
1999-09-10,3006465566,125038797790
1999-09-13,3017230679,119041452098
1999-09-14,2730941699,106809965273
1999-09-15,2226340403,90681504048
1999-09-16,1771053542,68626829740
1999-09-17,1921583704,73139555967
1999-09-18,1694126771,70826353771
1999-09-20,1230960000,50074192210
1999-09-27,518243787,10837819689
1999-09-28,1851571730,65396275462
1999-09-29,2953010583,128623821779
1999-09-30,2970608419,123982737585
1999-10-01,2910993260,107480034835
1999-10-02,3300300218,118487959839
1999-10-04,3284521000,106120599960
1999-10-05,2774407135,94252296262
1999-10-06,1833355330,69541760348
1999-10-07,2126294067,86089146430
1999-10-08,1859259347,66077046613
1999-10-11,1610887286,61236921614
1999-10-12,2448408948,117057743650
1999-10-13,2934172541,125583866643
1999-10-14,2646584895,103813729976
1999-10-15,2460592674,106895447698
1999-10-16,1951083370,75205645325
1999-10-18,1944257000,75248330620
1999-10-19,1645864128,65733060367
1999-10-20,1737342192,72266385131
1999-10-21,1685743214,69461812758
1999-10-22,1850902510,72547805461
1999-10-25,1438283519,54493226188
1999-10-26,1744169195,68852148333
1999-10-27,1581146660,62182392664
1999-10-28,1495452268,61188540360
1999-10-29,1978280421,92502213520
1999-10-30,2498893147,135567026370
1999-11-01,1539097000,75168091560
1999-11-02,1418023604,66398343008
1999-11-03,1605987887,69408653786
1999-11-04,1623500002,68056616844
1999-11-05,1549561690,55399981290
1999-11-06,1696863938,68238728052
1999-11-08,1481926000,54883386180
1999-11-09,1176824634,46044583843
1999-11-10,1615550446,56946116275
1999-11-11,1713606876,82364325917
1999-11-15,1317857912,67489672139
1999-11-16,1988433551,103115870183
1999-11-17,2003544435,103572372831
1999-11-18,2492317339,139876976813
1999-11-19,2887293502,164872145217
1999-11-20,3110520065,172413089144
1999-11-22,3411454000,190581959030
1999-11-23,3004343034,171918615169
1999-11-24,2188536425,121839393645
1999-11-25,2345011497,125354432445
1999-11-26,3436765000,192923162837
1999-11-29,2285503935,118458953802
1999-11-30,2928627138,121718372085
1999-12-01,1929833839,81752527247
1999-12-02,2152962633,93092219609
1999-12-03,2791126132,125139823977
1999-12-04,3169187953,149740731625
1999-12-06,2725724000,119813927020
1999-12-07,2403887112,115546247175
1999-12-08,2556812295,136253934315
1999-12-09,2680653113,140038467341
1999-12-10,2207383063,114752704586
1999-12-13,2307807632,120343974580
1999-12-14,2577106188,132943219183
1999-12-15,2708233585,133493980713
1999-12-16,3155063137,156933527801
1999-12-17,2778164669,132599342812
1999-12-18,2200666126,108403707485
1999-12-20,1797890000,90495307190
1999-12-21,2699824522,136617970186
1999-12-22,2954420852,165048171346
1999-12-23,2661664315,134716814083
1999-12-24,3220357815,171382138644
1999-12-27,3499805430,190352605040
1999-12-28,3736534586,194566820430
2000-01-04,3902921000,228618317680
2000-01-05,4602396059,252757881194
2000-01-06,4811126992,268146298907
2000-01-07,4481003273,222699371710
2000-01-10,4363059308,244443735507
2000-01-11,5395525668,326462532039
2000-01-12,3937299088,236705507097
2000-01-13,4566289371,259632864390
2000-01-14,3834580349,206415942814
2000-01-15,3283833100,183597969053
2000-01-17,4058472000,199834574910
2000-01-18,3858552244,173467874086
2000-01-19,3628638935,164058480957
2000-01-20,3136783265,137848648879
2000-01-21,3561639699,184954775353
2000-01-24,4197952794,195947903655
2000-01-25,3916167179,164743905242
2000-01-26,4711541072,220659626112
2000-01-27,5061179542,205386429148
2000-01-28,5081101907,205955116078
2000-01-29,3678064641,146354889286
2000-01-31,3256332000,152936476050
2000-02-01,4477717839,200229304790
2000-02-09,4666126000,231150170760
2000-02-10,5272457368,215373054951
